STATES,CONFIRMED CASES,ACTIVE CASES,DEATHS
Andaman and Nicobar Islands,4710,99,61
Andhra Pradesh,868064,7840,6992
Arunachal Pradesh,16282,817,54
Assam,212776,3399,981
Bihar,234610,5359,1264
Chandigarh,17409,1062,277
Chhattisgarh,237322,19635,2861
Daman and Diu,3332,16,2
Delhi,570374,32885,9174
Goa,47963,1335,688
Gujarat,209780,14970,3989
Haryana,234126,18362,2428
Himachal Pradesh,40518,8289,645
Jammu and Kashmir,110224,4965,1694
Jharkhand,109151,2016,964
Karnataka,884897,23298,11778
Kerala,602982,62025,2244
Ladakh,8415,809,117
Lakshadweep,0,0,0
Madhya Pradesh,206128,14771,3260
Maharashtra,1823896,91623,47151
Manipur,25045,3198,281
Meghalaya,11810,763,111
Mizoram,3847,343,5
Nagaland,11186,928,64
Odisha,318725,4921,1739
Puducherry,36968,460,610
Punjab,152091,7842,4807
Rajasthan,268063,28653,2312
Sikkim,4989,248,109
Tamil Nadu,781915,10997,11712
Telangana,270318,9627,1461
Tripura,32726,592,370
Uttar Pradesh,543888,24099,7761
Uttarakhand,74795,5059,1231
West Bengal,483484,24298,8424
